X1,X2,Y
3,7.8292,0
3,7,1
2,9.6875,0
3,8.6625,0
3,12.2875,1
3,9.225,0
3,7.6292,1
2,29,0
3,7.2292,1
3,24.15,0
1,26,0
1,82.2667,1
2,26,0
1,61.175,1
2,27.7208,1
2,12.35,0
3,7.225,0
3,7.925,1
3,7.225,1
1,59.4,0
3,3.1708,0
1,61.3792,0
1,262.375,1
3,14.5,0
1,61.9792,1
3,7.225,0
1,30.5,0
2,26,0
2,31.5,0
3,20.575,1
1,57.75,0
3,7.2292,0
3,8.6625,1
3,9.5,0
3,13.4167,0
3,7.85,0
2,13,1
1,52.5542,1
3,7.925,0
1,29.7,0
1,76.2917,1
3,15.9,1
1,60,0
2,15.0333,0
2,23,1
1,263,1
3,29.125,0
3,7.8958,0
3,7.65,0
1,262.375,1
3,7.8958,0
2,13.5,0
3,7.75,0
3,7.725,1
1,262.375,0
3,7.8792,1
1,42.4,0
1,28.5375,0
1,263,1
3,7.75,1
3,7.8958,0
3,7.925,1
1,27.7208,0
1,211.5,1
1,211.5,0
1,25.7,1
2,13,0
3,7.75,1
3,15.2458,0
1,221.7792,0
1,26,0
3,7.8792,1
3,8.05,1
2,23,0
3,13.9,1
1,52,1
1,26,0
3,7.7958,0
1,78.85,1
3,7.925,0
3,7.8542,1
3,8.05,0
1,55.4417,1
2,26,0
3,7.775,0
3,8.5167,1
3,22.525,0
3,7.8208,0
2,13,0
2,15.0458,0
1,31.6792,1
3,7.2833,1
1,221.7792,1
3,14.4542,0
3,16.7,1
1,75.2417,0
2,26,1
2,15.75,1
1,57.75,1
3,7.25,0
3,16.1,1
3,7.7958,0
2,13,0
3,8.05,0
3,8.05,0
1,28.5,0
3,7.8958,0
3,7.8542,0
3,7.225,0
2,13,0
3,8.05,1
3,46.9,0
3,46.9,1
1,151.55,1
1,262.375,0
2,26,0
1,26.55,0
3,18,0
3,8.05,0
2,26,0
1,83.1583,1
3,,0
3,12.1833,1
3,31.3875,0
3,7.55,0
1,221.7792,1
3,7.8542,1
1,26.55,0
3,13.775,1
3,15.2458,0
2,13.5,1
2,13,0
3,22.025,1
1,50.4958,0
3,34.375,0
3,8.9625,1
3,7.225,0
3,13.9,0
3,31.3875,0
2,39,1
2,36.75,1
1,55.4417,0
2,39,1
1,83.1583,1
2,13,0
1,83.1583,0
1,53.1,1
1,247.5208,1
2,16,0
2,21,1
3,8.05,0
2,13,0
2,26,0
3,14.5,0
2,12.35,0
2,32.5,0
3,7.8542,0
1,134.5,0
3,7.775,1
2,10.5,0
3,14.4,0
1,227.525,0
2,26,1
2,10.5,0
3,7.75,1
2,10.5,0
1,27.7208,1
3,7.8958,0
3,22.525,0
2,73.5,0
2,26,1
3,7.775,1
1,42.5,0
1,164.8667,0
1,211.5,1
2,13.8583,1
3,8.05,0
2,10.5,1
3,7.7958,0
1,27.4458,1
3,7.7958,0
3,15.1,0
2,13,0
2,65,0
1,26.55,1
3,6.4958,0
1,71.2833,0
3,7.8542,0
1,75.25,0
3,7.225,0
2,13,1
1,106.425,1
1,27.7208,1
2,30,1
1,134.5,0
1,51.8625,0
2,21,1
2,32.5,0
2,26,1
2,27.75,1
3,7.925,0
1,136.7792,0
3,9.325,0
3,9.5,0
3,8.05,0
2,13,1
3,7.775,0
3,17.4,0
3,7.8542,0
2,23,1
3,12.1833,1
2,12.7375,0
3,8.6625,0
1,75.2417,0
1,136.7792,1
2,26,1
2,10.5,0
2,26,0
2,21,0
2,10.5,0
3,8.6625,1
3,13.775,0
3,15.2458,1
3,20.2125,1
3,7.25,0
1,82.2667,0
3,6.95,1
1,81.8583,0
3,9.5,0
3,7.8958,0
2,41.5792,1
1,45.5,0
3,7.8542,0
3,7.775,0
2,21,0
3,8.6625,0
1,26.55,1
1,151.55,0
3,9.35,0
1,93.5,0
3,14.1083,1
3,8.6625,0
3,7.225,0
3,7.75,1
1,135.6333,1
3,7.7333,1
1,146.5208,0
2,10.5,0
3,7.8542,0
2,31.5,0
3,7.775,0
3,7.2292,0
2,13,0
1,26.55,0
1,211.3375,1
3,7.05,0
2,39,1
1,79.2,0
2,26,0
2,13,0
2,36.75,1
1,29.7,0
3,15.7417,1
3,7.8958,0
1,26,0
2,13,0
3,7.2292,0
2,31.5,0
2,10.5,0
3,7.5792,0
1,512.3292,1
3,7.65,1
2,13,0
3,7.2292,1
2,13.5,0
2,21,1
1,63.3583,1
2,10.5,0
2,73.5,0
2,65,0
3,20.575,1
1,26,0
1,51.4792,1
3,15.55,1
3,69.55,0
2,37.0042,1
2,21,1
3,8.6625,0
1,55.4417,1
3,39.6875,1
1,59.4,1
2,13.8583,0
2,11.5,0
1,134.5,1
1,0,0
2,13,0
1,81.8583,1
1,262.375,1
3,8.6625,1
2,11.5,0
1,50,0
3,31.3875,0
3,7.8792,0
3,16.1,1
2,65,1
3,7.775,0
2,13,0
3,7.75,0
3,21.075,0
1,93.5,0
1,39.4,1
3,20.25,0
2,10.5,0
3,22.025,0
1,60,1
3,7.25,0
1,79.2,1
3,7.775,0
3,7.7333,0
1,164.8667,1
2,21,0
1,59.4,1
1,47.1,0
1,27.7208,0
2,13.8625,0
2,10.5,0
1,211.5,0
3,13.775,1
1,90,1
3,7.775,1
1,108.9,1
3,7.25,0
